Id,Prediction
0,4670270.382649251
1,3794732.0607282873
2,4165948.160759235
3,3780734.4908368257
4,4338758.084469658
5,4223182.874514364
6,4079131.7331548324
7,4324128.736992032
8,4451563.34672187
9,3597248.122833764
10,3897625.0192965674
11,4104657.2369507547
12,5020509.957750835
13,5284226.900280504
14,4095107.5708048004
15,3876927.7670429056
16,5032349.048634739
17,3568876.0528039946
18,4160583.126191486
19,4475865.249361696
20,3960321.4902655063
21,4533443.731419226
22,4502997.949520589
23,4554392.212966036
24,4244442.74893694
25,4111771.949755104
26,3556290.362296444
27,4506044.016172407
28,3946468.2852831236
29,4335826.695161032
30,4728943.1167500755
31,3420988.7741190065
32,3886847.401315606
33,4148090.7867229395
34,4096949.124133615
35,4023272.5816082116
36,3913872.8940898194
37,3811865.3787549995
38,3493295.9681342677
39,4132021.4944530856
40,4552741.799427662
41,4211944.459917265
42,3851288.7243452026
43,5614160.329841055
44,5081733.2732088
45,3799163.0833473364
46,4016204.0047453865
47,3856750.638486681
48,4567240.4714078
49,4312114.942536619
50,4733530.761750609
51,4275157.875206288
52,4208399.6033223
53,3543382.08847958
54,3455967.174732539
55,4063169.6932527423
56,4499039.659500624
57,4329830.496507329
58,4137199.038965159
59,5098371.951494955
60,3352176.067502022
61,3879882.877600866
62,3482493.9105774104
63,3903731.76317659
64,4395824.278907006
65,5521918.587327351
66,5256374.135927577
67,5402742.461278561
68,4423750.075276964
69,3982190.2942561526
70,4059909.649857832
71,4387123.952000166
72,4453072.401530382
73,3798009.4462929354
74,5588087.007234877
75,4325589.6961976765
76,4350781.348803926
77,3578390.819635788
78,4394227.3823518595
79,4713494.49064299
80,4512760.633801801
81,4282860.666033242
82,4177200.618442676
83,5483045.190931708
84,5517726.977063794
85,3334655.981670993
86,4885979.056199717
87,4297162.64707056
88,4415442.515941144
89,3595511.6031243466
90,4619393.599063515
91,4696090.483678238
92,3748368.457721516
93,5142459.921105233
94,4227410.931473764
95,4089736.3362871944
96,4601008.194032554
97,4457349.58050483
98,3118309.2707323027
99,4296231.504841511
100,4068230.786914634
101,3178011.6046339106
102,3812675.400470285
103,3767861.5387702514
104,3862607.1656756075
105,3490947.70870257
106,4872206.738175312
107,4658745.273121493
108,4705410.079018959
109,4386674.442255613
110,5048092.033403453
111,4313715.022053612
112,4845990.051662167
113,4444043.57913402
114,3849524.839945948
115,5539556.50463498
116,3619085.379397699
117,4883278.145817197
118,3922036.204855655
119,4416649.293495563
120,4742022.525785067
121,4943607.836006621
122,4146831.0708421767
123,6259180.740620768
124,3702735.2187994444
125,3413794.737706042
126,3464092.329894271
127,4090260.1776993824
128,3571812.405721545
129,3881896.140681726
130,2965319.955546037
131,4101087.2756725033
132,5326447.986704395
133,3320000.481933587
134,3521425.949770041
135,3889214.4184259526
136,4196753.286000421
137,3645496.1403491413
138,4781503.548155141
139,4349571.569727718
140,4409821.791764722
141,3620265.261888453
142,4136427.7152451337
143,3561148.4565077764
144,4675576.921237919
145,3694461.8892407846
146,4378627.552514444
147,2686007.2739488506
148,5224429.875749751
149,5091488.639345728
150,3548863.800789628
151,3912184.719188337
152,5069826.796568609
153,4799671.099592126
154,3794167.245534677
155,4626833.718209871
156,4438880.573376802
157,4610907.044220496
158,3506226.6411809498
159,4210138.1293944875
160,4462743.946107655
161,3454383.102874989
162,2902638.112427747
163,5441296.869293997
164,4976869.485186461
165,4099568.3870205386
166,4751033.0257964805
167,4172615.7875356507
168,3917537.89784906
169,5011836.892162346
170,4159703.59314627
171,4308968.281766229
172,4016200.082279324
173,3596634.4148230613
174,5086134.361904892
175,3879592.213130263
176,4963599.224236054
177,4863166.730703629
178,4020843.4735615007
179,3621749.5148647875
180,3298846.0418955507
181,4644490.261884793
182,5235154.229763002
183,3651382.6347482065
184,3960390.464257664
185,3790332.191572208
186,3943966.5511856293
187,6732191.05395819
188,4968187.11176717
189,4503707.935882785
